10,-34.50112454355433,-42.9363343119057,-32.46127506922352,-39.4399999703028,-36.65221461386503,-35.839836990300725,-41.92375215290558,-36.63131089446338,-36.499136464020964,-31.341538152817066,-32.7203151444425,-36.24563627614053,-37.46401488146161,-35.92762874607408,-38.562662656431286,-32.63775146592731,-36.993442483254015,-35.529254579857394,-38.001289419477445,-42.5984997061164,-44.98967107527832,-34.31467373595047,-50.13440812000792,-32.050135457382815,-50.733384470182685,-31.883673678065012,-33.44976653214041,-30.147408183802256,-42.341159300895626,-31.89477109872821,-37.769660173438005,-33.87350193038223,-35.921193998267086,-29.530056803081283,-39.77214719789215,-35.81001782935381,-48.86473456620377,-35.3080282693969,-33.71236610762388,-42.018464152168846
20,-39.9832121247029,-39.480975888923666,-36.6838255638354,-51.68073897286558,-58.25610353574565,-41.21144495802368,-38.462571996664494,-48.2575661747849,-37.95341938934249,-42.03372388809817,-49.408668090451826,-50.370735702367135,-39.62801633538149,-34.851805508838986,-48.28620733658108,-39.64052125744253,-39.46222190670482,-34.14776020231583,-52.86442645165248,-38.72566755180057,-51.92276133916965,-42.827349102121886,-57.54420529855938,-42.34326313729479,-41.33520469758407,-45.089986364203526,-41.0373935845352,-39.860617777632285,-45.47293892424849,-42.30167188694458,-41.592250708695545,-48.41968444012442,-37.36848977354158,-45.329160839617956,-40.443270228406305,-36.934429234476355,-52.48895271542313,-36.480706382088265,-56.07358108392031,-45.64134046334048
30,-55.67079085353593,-54.4000401238348,-60.2172119166658,-59.61199530173185,-44.94141641376014,-44.22636229286071,-51.1615982123549,-46.81064221863348,-45.671798775098175,-55.62125542867056,-47.22033079650283,-45.565481329054705,-57.95403837012195,-55.39297982627531,-54.28997677020349,-51.212428741719776,-44.321503871571906,-51.62893439430551,-49.72655608897505,-48.596551357009055,-50.95368275344012,-49.5554981724327,-59.529143350642215,-55.44737501949338,-48.32706821204057,-51.53927336023264,-52.036406764530426,-58.27554014159642,-51.184811896753956,-44.06880165981745,-54.08447909627421,-62.769915480992196,-57.11555355315741,-48.68096813258522,-52.52152577954209,-51.537075439010486,-65.78074841262003,-41.817389103357826,-55.718727785726344,-51.81251947464321
40,-56.53813333872799,-66.7683220916696,-61.782213661578425,-59.690539210250336,-59.90435135353022,-56.38911934098935,-59.42775186554742,-56.152978826301094,-58.155213042436245,-57.134378827204266,-64.06997354430099,-57.9096262856094,-51.38026270520028,-54.12239036844667,-54.68950286121749,-69.17950713913149,-61.570890064701466,-57.63085910965444,-59.54075072458337,-56.03654006435996,-57.297824011117015,-54.135230378039076,-72.02564822516334,-52.01550263935521,-53.415387160327946,-64.59505748463855,-47.66390088798526,-53.15618671986445,-49.24581511576477,-63.66349882452148,-56.56097475427622,-57.789604332047546,-58.137339629682046,-53.377468300090065,-56.747812185219466,-72.22010051904219,-62.88716027584137,-57.79177449111847,-51.83974339033217,-59.91436794013865
50,-73.02179956452508,-76.86529170939467,-60.32016737561537,-56.66730294050134,-57.711658346758966,-60.00031275558477,-58.739840319434805,-60.07927806813311,-61.05196485223193,-66.43594301179877,-69.6311715611772,-67.24342409871754,-57.78967947100016,-69.182979962456,-65.6301432523639,-57.150436892832815,-73.98636470055581,-65.03820046119576,-63.601958002459455,-68.715187759696,-66.29580517310728,-73.03621634534309,-74.04762052778162,-66.62405768288959,-55.24459380407831,-61.21683387718048,-63.062140325410645,-56.522300899494915,-55.49556011802625,-77.56352465152398,-60.957849591588555,-57.731243344255965,-84.94761919272258,-55.35001547212798,-54.85724871778559,-59.438324634728644,-62.29607464835895,-61.96719669536009,-62.27078228980433,-67.57910431133506
60,-70.85058081678231,-59.98431500495971,-69.40101476135047,-61.01607973324613,-61.927939279508436,-66.2773783939365,-68.970994443461,-61.029081470375125,-72.64304721906541,-78.2583666414564,-64.22823929200165,-73.15329543574296,-60.85255365757045,-60.30846142154639,-65.2631814700459,-68.17162124099296,-62.243500728862536,-69.93998025930928,-83.78635841839608,-68.88635944505445,-62.14715997473947,-76.21046981037938,-66.25312206758156,-68.49124255749426,-60.18276043480162,-59.59007862220472,-75.92668579435244,-64.1536786858095,-77.38442463158515,-61.717006178076645,-73.8660942631196,-63.912162873279726,-77.30106474911565,-82.45949280792142,-89.37986600512474,-66.53708987469557,-63.33227616585944,-63.06040288778494,-61.85192648197125,-70.95260522529173
70,-68.10789762395223,-65.79312997096173,-60.82117574729925,-75.29537992767207,-71.39748638163579,-73.53309211530332,-76.42293207588273,-65.8802453863539,-73.17887194888532,-65.33796419532922,-66.54501784253893,-58.85275998517129,-69.08295013124257,-67.8781176040389,-63.83442631176256,-72.58019865920657,-77.02966791181461,-69.91130123149176,-62.35368629482858,-77.30675266701775,-62.661670980618354,-71.53721058529926,-64.09385715834043,-71.36768216091994,-67.7524429885578,-66.08255380127271,-85.50967270252578,-73.64660566412924,-68.9006718489913,-79.72797985454291,-75.3917118333825,-68.42783857752606,-67.71207694192375,-58.85576906861913,-59.24571319031012,-70.52046464314991,-79.12334744911306,-69.4289992018923,-64.23215212620616,-71.10541309550241
80,-70.62802035893759,-67.44124951465896,-74.68386225324765,-74.89936135373169,-71.65188938229073,-62.161207704152645,-58.088529530165665,-72.99989587220851,-74.59664593512178,-71.35217051452827,-82.07020948795831,-94.44724332827687,-81.74551008695475,-83.5160689656697,-74.77156066577245,-67.81658272054435,-63.837204243227255,-65.20180480166299,-77.03915425523559,-63.113291310535274,-73.38527032916912,-76.08894159909451,-70.0096254431564,-65.09746991058233,-79.17253520249756,-74.59447598066933,-86.70620470356927,-69.17185627035431,-72.64520037384726,-69.02991937291517,-69.70302569652195,-83.43243249864715,-74.05830395089629,-74.47473447838534,-82.08155967806941,-74.53159512887511,-67.72291851648083,-73.8683133205455,-72.21140566952346,-66.89969896404602
90,-67.20268415820478,-69.39717732711526,-74.65494956721936,-73.35705401656143,-71.60839644987134,-70.89682697034976,-68.84027814296537,-76.32767366224803,-69.822170306437,-70.31930557454339,-72.05461190485869,-77.28235624702214,-70.33390231209918,-67.14205311538062,-71.07712749658232,-69.3706840902891,-78.12490050090898,-67.0724900677443,-71.00446720390545,-71.90537571662063,-73.50471260261872,-72.46372955422484,-81.43137917782097,-68.10987366662744,-73.86024158310224,-72.53264183954215,-77.46458971300179,-78.26868842614718,-70.59255938105967,-80.58162766371635,-74.63867095243573,-68.65642945807738,-66.93163277837033,-76.73641110141426,-69.29069864690727,-65.2380100950274,-69.45474260842087,-76.07151113343703,-75.98262831660449,-71.51511754555072
100,-77.57726368147961,-69.42681099008293,-66.46674121008216,-68.54075201549705,-72.53061037624525,-73.10022404477283,-68.35302434288718,-68.02102959117943,-75.13236987499441,-68.58575166402429,-68.89982568701699,-75.49575625762547,-73.53212131384093,-72.61855015174805,-75.35348311554999,-73.94851472924674,-81.17690658871513,-70.48025891737002,-70.96379133626,-72.9254828945426,-78.98437371659926,-76.40068607486089,-76.37980394887002,-81.53149556886211,-70.43857262121317,-70.2874786706472,-69.10000220641709,-74.3343211412336,-74.25874440439483,-72.69182719135371,-67.38948070859782,-72.41840797935907,-70.45663935101032,-71.6788087081158,-74.61750566016153,-71.29286879777372,-87.5606275064157,-74.85305851862637,-81.7464150366494,-72.3651474932241
