height,NOMA_avg_power,OMA_avg_power,NOMA_power_efficiency,OMA_power_efficiency
1,-40.374974567740395,-3.921278283667538,168.97835463345032,132.5246583493775
3,-44.3481974463633,-7.6731293178707505,172.95157751207324,136.2765093835807
5,-37.31251384717811,2.261758269483831,165.91589391288804,126.3416217962261
7,-38.746702120737496,6.376116260132956,167.35008218644742,122.227263805577
9,-23.483583671659556,-0.1642684678677721,152.0869637373695,128.76764853357773
11,-40.72037092745713,1.6513817515655638,169.3237509931671,126.95199831414436
13,-26.706445406081357,8.727846469308076,155.30982547179127,119.87553359640187
15,-35.68000009591209,-1.41293671575195,164.28338016162203,130.01631678146188
17,-34.9638110481914,3.6381440243935033,163.56719111390134,124.96523604131644
19,-33.75499302952509,10.936712176074192,162.35837309523504,117.66666788963575
21,-13.308653251452792,13.826423139876816,141.91203331716275,114.77695692583312
23,-33.58685877767733,10.188952222757752,162.19023884338725,118.41442784295218
25,-30.10670463280869,12.585790827539618,158.7100846985186,116.01758923817032
27,-2.9422488811832843,26.793181403720236,131.54562894689323,101.81019866198969
29,-21.996114257336828,19.05942296403421,150.59949432304677,109.54395710167573
31,-21.92429375466284,18.712266480738798,150.52767382037277,109.89111358497114
33,-23.818851172521406,16.735050863238065,152.42223123823135,111.86832920247187
35,-17.668620895640153,24.741107161351916,146.2720009613501,103.86227290435801
37,-25.015196665473756,18.8179498816691,153.61857673118368,109.78543018404083
39,-13.318558695215561,20.46864198676105,141.92193876092549,108.13473807894889
41,-13.351348810598555,28.419891049594593,141.95472887630848,100.18348901611533
43,-9.116804625763667,20.213494770882996,137.7201846914736,108.38988529482694
45,-10.956375835675694,32.16102421361468,139.5597559013856,96.44235585209526
47,-16.680826375334977,25.71736364606884,145.28420644104492,102.8860164196411
49,-17.904892109448273,25.035526607655783,146.50827217515823,103.56785345805415
51,-14.052765112838593,30.140568023830994,142.65614517854854,98.46281204187895
53,19.38345751713474,29.421132585278865,109.2199225485752,99.18224748043107
55,-17.884267693002474,27.661952861914113,146.4876477587124,100.94142720379581
57,15.195114843768579,28.84433358590933,113.40826522194136,99.7590464798006
59,5.857055744238663,31.356586415304896,122.74632432147128,97.24679365040504
61,-11.101114123902247,30.54562561144472,139.70449418961218,98.05775445426521
63,-9.03953243115055,32.83241221417523,137.64291249686048,95.7709678515347
65,-13.36765299564108,29.151278273828616,141.97103306135102,99.45210179188132
67,-11.739381709148036,31.205970433286435,140.34276177485796,97.39740963242352
69,-5.019377133567183,35.7956850706991,133.62275719927712,92.80769499501083
71,-11.025447503208065,33.93693117856297,139.62882756891798,94.66644888714697
73,-8.79502389301943,32.635783563432895,137.39840395872938,95.96759650227703
75,-12.202510789727155,32.463367731651275,140.8058908554371,96.14001233405865
77,-7.773011931495195,36.469510560859234,136.37639199720513,92.13386950485071
79,-6.739289989216321,36.12889103103295,135.34267005492626,92.47448903467699
81,-6.433075743936387,35.193665796923156,135.03645580964633,93.40971426878679
83,-9.603533756748833,35.76344729091905,138.20691382245877,92.8399327747909
85,-4.586606432064093,38.14281117974875,133.18998649777402,90.4605688859612
87,11.606072586704189,54.622655294206936,116.99730747900576,73.980724771503
89,2.0181291153928678,41.2006908165202,126.58525095031706,87.40268924918973
91,-6.2227933203658115,38.625531677331885,134.82617338607577,89.97784838837805
93,-0.08578563730127922,34.69359368064329,128.6891657030112,93.90978638506665
95,49.47779487376154,34.487922613614174,79.1255851919484,94.11545745209577
97,-2.8402001409144217,36.88054661123418,131.44358020662435,91.72283345447575
99,-7.886583432188594,37.14353211656991,136.48996349789851,91.45984794914003
101,26.729932297906984,47.324179028997015,101.87344776780294,81.27920103671292
103,-1.9912308868475073,43.843568096044756,130.59461095255745,84.75981196966518
105,10.558713224716339,40.03679605388829,118.0446668409936,88.56658401182165
107,4.274045932976049,40.00875173619352,124.32933413273389,88.59462832951642
109,-2.4160069884384465,37.93163708915551,131.01938705414838,90.67174297655443
111,8.948756480623564,49.41798953649548,119.65462358508637,79.18539052921446
113,-5.636168364888685,39.46025030999175,134.23954843059863,89.14312975571819
115,3.377362573141904,48.060663292121426,125.22601749256805,80.54271677358852
117,3.118288973220406,47.118591030182266,125.48509109248953,81.48478903552768
119,-2.4067655039315072,37.1392836864812,131.01014556964145,91.46409637922874
121,10.954907596554094,37.36529082834744,117.64847246915585,91.2380892373625
123,-5.019966040691375,40.05553328393201,133.6233461064013,88.54784678177793
125,-2.748989630893432,42.3588360508258,131.35236969660338,86.24454401488414
127,16.026195972654666,45.2337978437376,112.57718409305527,83.36958222197234
129,-2.434505677230419,39.60585713839444,131.03788574294038,88.9975229273155
