height,NOMA_avg_power,OMA_avg_power,NOMA_power_efficiency,OMA_power_efficiency
100,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
101,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
102,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
103,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
104,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
105,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
106,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
107,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
108,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
109,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
110,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
111,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
112,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
113,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
114,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
115,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
116,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
117,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
118,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
119,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
120,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
121,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
122,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
123,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
124,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
125,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
126,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
127,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
128,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
129,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
130,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
131,172.51108709531903,340.70922766680155,-10.110123167392775,-48.839176282314035
