height,NOMA_total_power_40,NOMA_total_power_60,OMA_total_power_40,OMA_total_power_60,NOMA_power_efficiency_40,NOMA_power_efficiency_60,OMA_power_efficiency_40,OMA_power_efficiency_60
1,-45.807718098385635,-37.22512802427646,-29.264848011253278,-10.31606489064149,191.1225072688082,184.30082978525581,174.57963718167582,157.39176665162086
11,-42.38490005297824,-30.032419001026156,-28.60917521907609,-4.406417030899273,187.6996892234008,177.1081207620055,173.92396438949862,151.48211879187863
21,-33.0373746517223,-23.802219661583123,-16.14026040728798,2.856049518055112,178.35216382214486,170.87792142256248,161.45504957771053,144.21965224292424
31,-13.161079555205301,-12.861034811547887,3.8413345017945852,15.461533727777308,158.47586872562783,159.93673657252725,141.47345466862797,131.61416803320205
41,-17.198489671651032,-12.137558684555962,-2.0732247922365654,16.395204583875564,162.5132788420736,159.21326044553533,147.3880139626591,130.6804971771038
51,-16.732263945047595,-4.2599239410647485,-0.21626351031141477,20.29338846620105,162.04705311547016,151.33562570204413,145.53105268073398,126.78231329477832
61,-4.523483377094003,-4.212799542712154,7.7321446171991735,21.58472241350244,149.83827254751657,151.28850130369153,137.5826445532234,125.49097934747692
71,-7.877150186380416,2.9980071045878836,6.334479331349623,29.75997023301966,153.19193935680295,144.0776946563915,138.98030983907293,117.31573152795971
81,-7.966539731665893,8.324334963289191,5.346233121145502,36.74623797090505,153.28132890208846,138.75136679769017,139.96855604927705,110.3294637900743
91,-7.24656285745152,4.238741114838774,8.466969619325681,31.734196206310592,152.56135202787408,142.8369606461406,136.84781955109688,115.34150555466877
101,-2.88923040252634,1.9552428126319032,13.537700209623765,29.470238953464502,148.20401957294888,145.12045894834745,131.77708896079878,117.60546280751485
111,-0.8006824198158002,4.321032982476206,10.10016092860935,31.97355637314662,146.11547159023837,142.75466877850315,135.21462824181322,115.10214538783273
121,-0.013831324609769168,6.907875419022592,15.846644230692972,34.440114506529376,145.3286204950323,140.16782634195675,129.4681449397296,112.63558725445
